clip_id,frame,track_id,x1,y1,x2,y2,confianza,confirmado,reid_sim,track_id_bytetrack
retail_iprox_caja,177,1,5.3,149.4,279.5,710.6,0.8253,1,,1
retail_iprox_caja,178,1,5.4,149.5,279.8,710.7,0.8295,1,,1
retail_iprox_caja,179,1,5.5,149.7,279.4,709.9,0.8308,1,,1
retail_iprox_caja,180,1,5.5,149.7,279.3,709.7,0.8335,1,,1
retail_iprox_caja,181,1,5.0,149.8,278.6,709.6,0.8315,1,,1
retail_iprox_caja,182,1,5.1,149.7,278.6,709.6,0.8333,1,,1
retail_iprox_caja,183,1,4.8,149.7,278.2,709.7,0.8353,1,,1
retail_iprox_caja,184,1,4.6,149.8,277.4,709.2,0.8248,1,,1
retail_iprox_caja,185,1,4.6,150.0,277.1,709.0,0.8232,1,,1
retail_iprox_caja,186,1,4.8,150.2,277.1,709.3,0.8284,1,,1
retail_iprox_caja,187,1,4.9,150.3,277.1,709.4,0.8282,1,,1
retail_iprox_caja,188,1,5.0,150.4,277.2,709.4,0.8294,1,,1
retail_iprox_caja,189,1,5.2,150.4,277.2,709.3,0.8276,1,,1
retail_iprox_caja,190,1,5.2,150.4,277.2,709.3,0.8294,1,,1
retail_iprox_caja,191,1,5.4,150.3,277.3,709.3,0.8295,1,,1
retail_iprox_caja,192,1,5.4,150.3,277.2,709.2,0.8261,1,,1
retail_iprox_caja,193,1,5.4,150.3,277.2,709.1,0.8273,1,,1
retail_iprox_caja,194,1,5.4,150.3,277.2,709.1,0.8273,1,,1
retail_iprox_caja,195,1,5.5,150.3,277.3,709.1,0.8281,1,,1
retail_iprox_caja,196,1,5.2,150.1,277.8,710.2,0.8276,1,,1
retail_iprox_caja,197,1,5.2,150.0,278.2,710.7,0.8285,1,,1
retail_iprox_caja,198,1,5.2,150.1,278.3,711.0,0.8285,1,,1
retail_iprox_caja,199,1,5.3,150.1,278.6,711.1,0.8301,1,,1
retail_iprox_caja,200,1,5.7,150.1,279.2,711.1,0.8314,1,,1
retail_iprox_caja,201,1,5.0,150.4,277.2,709.0,0.8265,1,,1
retail_iprox_caja,202,1,4.8,150.5,276.5,708.5,0.8323,1,,1
retail_iprox_caja,203,1,4.7,150.6,276.2,708.2,0.8299,1,,1
retail_iprox_caja,204,1,4.8,150.7,276.1,708.1,0.8329,1,,1
retail_iprox_caja,205,1,4.8,151.2,275.8,708.2,0.8323,1,,1
retail_iprox_caja,206,1,4.7,151.2,275.5,708.0,0.8333,1,,1
retail_iprox_caja,207,1,4.6,151.2,275.2,707.9,0.8332,1,,1
retail_iprox_caja,208,1,5.1,151.4,275.8,708.0,0.8374,1,,1
retail_iprox_caja,209,1,5.1,151.5,275.7,708.1,0.8363,1,,1
retail_iprox_caja,210,1,5.0,151.7,275.3,707.8,0.8317,1,,1
retail_iprox_caja,211,1,5.1,151.9,275.3,707.7,0.8324,1,,1
retail_iprox_caja,212,1,5.0,151.9,275.2,708.0,0.8361,1,,1
retail_iprox_caja,213,1,5.0,151.8,275.1,707.6,0.834,1,,1
retail_iprox_caja,213,3,642.7,6.8,718.1,195.4,0.4386,0,,3
retail_iprox_caja,214,1,5.0,151.8,275.2,707.9,0.8403,1,,1
retail_iprox_caja,215,1,4.6,151.8,274.6,707.8,0.8343,1,,1
retail_iprox_caja,216,1,4.5,151.8,274.3,707.7,0.8334,1,,1
retail_iprox_caja,217,1,4.4,151.8,274.2,707.8,0.8359,1,,1
retail_iprox_caja,218,1,3.9,151.9,272.6,705.8,0.8406,1,,1
retail_iprox_caja,219,1,4.4,151.9,273.8,707.3,0.8391,1,,1
retail_iprox_caja,220,1,4.7,152.0,274.4,708.0,0.8409,1,,1
retail_iprox_caja,221,1,4.8,152.0,274.5,708.3,0.8401,1,,1
retail_iprox_caja,222,1,4.9,152.0,274.9,708.5,0.8434,1,,1
retail_iprox_caja,223,1,5.1,152.1,275.1,708.6,0.842,1,,1
retail_iprox_caja,224,1,4.8,152.0,274.9,708.8,0.8415,1,,1
retail_iprox_caja,225,1,4.5,152.0,274.6,709.1,0.8452,1,,1
retail_iprox_caja,226,1,4.7,152.0,274.8,709.2,0.845,1,,1
retail_iprox_caja,227,1,4.7,151.9,274.8,709.2,0.8423,1,,1
retail_iprox_caja,228,1,4.6,151.9,274.7,709.3,0.8427,1,,1
retail_iprox_caja,229,1,4.8,151.9,275.0,709.4,0.8432,1,,1
retail_iprox_caja,229,2,720.6,20.8,852.9,367.4,0.6373,1,0.5926,5
retail_iprox_caja,230,1,5.1,151.9,275.3,709.4,0.8439,1,,1
retail_iprox_caja,230,2,725.8,17.8,863.0,379.6,0.7516,1,,5
retail_iprox_caja,231,1,5.3,151.9,275.7,709.5,0.8463,1,,1
retail_iprox_caja,231,2,728.6,15.8,866.7,383.4,0.7463,1,,5
retail_iprox_caja,232,1,5.5,151.9,276.1,709.5,0.8448,1,,1
retail_iprox_caja,232,2,733.8,16.7,870.2,385.2,0.7688,1,,5
retail_iprox_caja,233,1,5.2,151.9,275.8,709.4,0.8436,1,,1
retail_iprox_caja,233,2,738.6,21.6,871.7,386.8,0.6967,1,,5
retail_iprox_caja,234,1,4.8,151.9,275.4,709.3,0.8423,1,,1
retail_iprox_caja,234,2,749.4,20.2,882.5,388.5,0.6301,1,,5
retail_iprox_caja,235,1,5.0,151.9,275.6,709.5,0.8448,1,,1
retail_iprox_caja,235,2,761.2,19.0,894.0,388.5,0.5486,1,,5
retail_iprox_caja,236,1,5.3,152.0,276.1,709.6,0.843,1,,1
retail_iprox_caja,236,2,765.6,15.4,899.0,390.3,0.4834,1,,5
retail_iprox_caja,237,1,5.1,151.9,276.1,709.6,0.8441,1,,1
retail_iprox_caja,237,2,766.1,14.4,898.2,388.9,0.6842,1,,5
retail_iprox_caja,238,1,5.0,151.9,276.1,709.7,0.8418,1,,1
retail_iprox_caja,238,2,771.9,19.2,901.7,387.2,0.6981,1,,5
retail_iprox_caja,239,1,6.3,152.6,278.0,710.2,0.8454,1,,1
retail_iprox_caja,239,2,773.1,22.8,901.5,387.2,0.8126,1,,5
retail_iprox_caja,240,1,8.2,152.7,280.9,710.3,0.8528,1,,1
retail_iprox_caja,240,2,776.9,25.3,903.8,384.6,0.7232,1,,5
retail_iprox_caja,241,1,11.9,153.1,286.1,709.8,0.8692,1,,1
retail_iprox_caja,241,2,782.6,31.0,908.1,381.2,0.7518,1,,5
retail_iprox_caja,242,1,12.5,153.0,288.5,709.6,0.8686,1,,1
retail_iprox_caja,242,2,787.2,34.2,914.0,381.1,0.7581,1,,5
retail_iprox_caja,243,1,12.3,153.0,289.8,709.5,0.8688,1,,1
retail_iprox_caja,243,2,787.6,35.2,916.7,382.3,0.7721,1,,5
retail_iprox_caja,244,1,11.8,152.9,290.9,709.5,0.8675,1,,1
retail_iprox_caja,244,2,792.7,36.7,925.5,383.4,0.7488,1,,5
retail_iprox_caja,245,1,11.2,152.9,291.6,709.4,0.8672,1,,1
retail_iprox_caja,245,2,796.5,38.9,933.1,383.4,0.7943,1,,5
retail_iprox_caja,246,1,10.5,152.9,292.2,709.6,0.8677,1,,1
retail_iprox_caja,246,2,806.3,41.0,944.9,379.5,0.8153,1,,5
retail_iprox_caja,247,1,10.0,152.9,293.0,709.9,0.8707,1,,1
retail_iprox_caja,247,2,805.0,41.9,949.1,382.8,0.8477,1,,5
retail_iprox_caja,248,1,9.6,152.8,293.6,709.9,0.8698,1,,1
retail_iprox_caja,248,2,808.7,42.1,955.9,383.2,0.8571,1,,5
retail_iprox_caja,249,1,9.2,152.7,294.1,709.9,0.8696,1,,1
retail_iprox_caja,249,2,809.1,42.1,959.1,383.4,0.8565,1,,5
retail_iprox_caja,250,1,8.7,152.7,294.6,710.0,0.8682,1,,1
retail_iprox_caja,250,2,815.0,41.9,966.1,383.5,0.829,1,,5
retail_iprox_caja,251,1,8.3,152.8,294.9,709.9,0.8681,1,,1
retail_iprox_caja,251,2,827.7,39.7,978.4,378.9,0.5091,1,,5
retail_iprox_caja,252,1,7.7,152.8,294.8,709.8,0.8654,1,,1
retail_iprox_caja,252,2,855.6,38.0,1011.2,379.7,0.6254,1,,5
retail_iprox_caja,253,1,7.4,152.9,295.2,709.9,0.8652,1,,1
